label_en,label_zh
Arcuate fasciculus mid-anterior RH,前部右侧
Arcuate fasciculus middle LH,中部左侧
Arcuate fasciculus middle RH,中部右侧
Arcuate fasciculus posterior LH,后部左侧
Arcuate fasciculus postero-inferior LH,后下部左侧
Arcuate fasciculus postero-inferior RH,后下部右侧
Arcuate fasciculus postero-superior,后上部
Calcarine cortex anterior,距状皮层前部
Calcarine cortex anterior RH,距状皮层前部右侧
Calcarine cortex mid-anterior LH,距状皮层前部左侧
Calcarine cortex mid-posterior LH,距状皮层后部左侧
Calcarine cortex mid-posterior RH,距状皮层后部右侧
Calcarine cortex posterior,距状皮层后部
Calcarine cortex posterior LH,距状皮层后部左侧
Calcarine cortex posterior RH,距状皮层后部右侧
Calcarine sulcus anterior,沟前部
Calcarine sulcus anterior LH,沟前部左侧
Calcarine sulcus anterior RH,沟前部右侧
Calcarine sulcus mid-anterior,沟前部
Calcarine sulcus mid-anterior RH,沟前部右侧
Calcarine sulcus mid-posterior LH,沟后部左侧
Calcarine sulcus middle,沟中部
Calcarine sulcus posterior,沟后部
Calcarine sulcus posterior LH,沟后部左侧
Calcarine sulcus posterior medial,沟后部内侧
Callosal sulcus mid-anterior,沟前部
Callosal sulcus mid-posterior,沟后部
Callosal sulcus middle,沟中部
Callosal sulcus posterior,沟后部
Callosomarginal sulcus,胼胝体缘沟
Callosomarginal sulcus inferior,胼胝体缘沟下部
Callosomarginal sulcus inferior LH,胼胝体缘沟下部左侧
Callosomarginal sulcus inferior RH,胼胝体缘沟下部右侧
Callosomarginal sulcus mid-inferior,胼胝体缘沟下部
Callosomarginal sulcus mid-superior,胼胝体缘沟上部
Callosomarginal sulcus middle,胼胝体缘沟中部
Callosomarginal sulcus middle LH,胼胝体缘沟中部左侧
Callosomarginal sulcus superior,胼胝体缘沟上部
Callosomarginal sulcus superior LH,胼胝体缘沟上部左侧
Callosomarginal sulcus superior RH,胼胝体缘沟上部右侧
Caudate,尾状核
Caudate LH,尾状核左侧
Caudate RH,尾状核右侧
Caudate anterior,尾状核前部
Caudate anterior RH,尾状核前部右侧
Caudate antero-superior,尾状核前上部
Caudate inferior,尾状核下部
Caudate nucleus,尾状核
Caudate nucleus tail,尾状核
Caudate posterior,尾状核后部
Caudate posterior LH,尾状核后部左侧
Caudate posterior RH,尾状核后部右侧
Caudate superior,尾状核上部
Caudate superior anterior,尾状核上部前部
Caudate superior posterior,尾状核上部后部
Central and postcentral sulci mid-superior,和上部
Central and postcentral sulci superior,和上部
Central opercula,中央盖区
Central opercular cortex,中央盖区皮层
Central opercular cortex LH,中央盖区皮层左侧
Central operculum LH,盖左侧
Central operculum RH,盖右侧
Central operculum anterior RH,盖前部右侧
Central operculum cortex,盖皮层
Central operculum posterior RH,盖后部右侧
Central operculum superior LH,盖上部左侧
Central sulcus,中央沟
Central sulcus LH,中央沟左侧
Central sulcus and postcentral sulcus superior,中央沟和中央后沟上部
Central sulcus inferior,中央沟下部
Central sulcus inferior LH,中央沟下部左侧
Central sulcus inferior RH,中央沟下部右侧
Central sulcus mid-inferior LH,中央沟下部左侧
Central sulcus mid-inferior RH,中央沟下部右侧
Central sulcus mid-inferior medial RH,中央沟下部内侧右侧
Central sulcus mid-superior,中央沟上部
Central sulcus mid-superior LH,中央沟上部左侧
Central sulcus mid-superior RH,中央沟上部右侧
Central sulcus middle,中央沟中部
Central sulcus middle LH,中央沟中部左侧
Central sulcus middle RH,中央沟中部右侧
Central sulcus middle medial RH,中央沟中部内侧右侧
Central sulcus middle posterior RH,中央沟中部后部右侧
Central sulcus of the insula postero-inferior,中央沟的脑岛后下部
Central sulcus superior,中央沟上部
Central sulcus superior LH,中央沟上部左侧
Central sulcus superior RH,中央沟上部右侧
Cerebellar peduncle,小脑脚
Cerebellar peduncles,小脑脚
Cerebellum Crus I,小脑
Cerebellum Crus I LH,小脑左侧
Cerebellum Crus I RH,小脑右侧
Cerebellum Crus I anterior,小脑前部
Cerebellum Crus I anterior LH,小脑前部左侧
Cerebellum Crus I anterior RH,小脑前部右侧
Cerebellum Crus I lateral LH,小脑外侧左侧
Cerebellum Crus I lateral RH,小脑外侧右侧
Cerebellum Crus I medial RH,小脑内侧右侧
Cerebellum Crus I posterior,小脑后部
Cerebellum Crus I posterior LH,小脑后部左侧
Cerebellum Crus I posterior RH,小脑后部右侧
Cerebellum Crus I superior,小脑上部
Cerebellum Crus I superior RH,小脑上部右侧
Cerebellum Crus II,小脑
Cerebellum Crus II LH,小脑左侧
Cerebellum Crus II RH,小脑右侧
Cerebellum Crus II anterior LH,小脑前部左侧
Cerebellum Crus II medial RH,小脑内侧右侧
Cerebellum Crus II posterior,小脑后部
Cerebellum Crus II posterior LH,小脑后部左侧
Cerebellum I-V,小脑
Cerebellum III anterior,小脑前部
Cerebellum III inferior,小脑下部
Cerebellum III superior,小脑上部
Cerebellum IV,小脑
Cerebellum IV LH,小脑左侧
Cerebellum IV and V,小脑和
Cerebellum IV and middle cerebellar peduncle,小脑和中部小脑脚
Cerebellum IV inferior,小脑下部
Cerebellum IV superior,小脑上部
Cerebellum IX,小脑
Cerebellum IX and cerebellar peduncle,小脑和小脑脚
Cerebellum IX anterior,小脑前部
Cerebellum IX inferior,小脑下部
Cerebellum IX middle,小脑中部
Cerebellum V,小脑
Cerebellum V LH,小脑左侧
Cerebellum V RH,小脑右侧
Cerebellum V anterior,小脑前部
Cerebellum V superior,小脑上部
Cerebellum VI,小脑
Cerebellum VI LH,小脑左侧
Cerebellum VI RH,小脑右侧
Cerebellum VI anterior,小脑前部
Cerebellum VI anterior RH,小脑前部右侧
Cerebellum VI antero-inferior LH,小脑下部左侧
Cerebellum VI antero-superior LH,小脑前上部左侧
Cerebellum VI lateral RH,小脑外侧右侧
Cerebellum VI medial,小脑内侧
Cerebellum VI medial RH,小脑内侧右侧
Cerebellum VI posterior,小脑后部
Cerebellum VI posterior LH,小脑后部左侧
Cerebellum VI superior,小脑上部
Cerebellum VI superior LH,小脑上部左侧
Cerebellum VI superior RH,小脑上部右侧
Cerebellum VI superior lateral,小脑上部外侧
Cerebellum VI superior medial,小脑上部内侧
Cerebellum VIIIa,小脑
Cerebellum VIIIa LH,小脑左侧
Cerebellum VIIIab,小脑
Cerebellum VIIIb anterior,小脑前部
Cerebellum VIIIb inferior,小脑下部
Cerebellum VIIIb medial,小脑内侧
Cerebellum VIIIb posterior,小脑后部
Cerebellum VIIb,小脑
Cerebellum Vermis,小脑
Cerebellum Vermis IX,小脑
Cerebellum Vermis X,小脑
Cerebellum X,小脑
Cerebellum horizontal fissure,小脑裂
Cerebellum horizontal fissure LH,小脑裂左侧
Cerebellum horizontal fissure medial,小脑裂内侧
Cerebellum secondary fissure,小脑裂
Cerebellum superior posterior fissure,小脑上部后部裂
Cerebellum superior posterior fissure LH,小脑上部后部裂左侧
Cerebellum superior posterior fissure RH,小脑上部后部裂右侧
Cerebellum superior posterior fissure central,小脑上部后部裂
Cerebral peduncles,大脑脚
Cerebral peduncles superior,大脑脚上部
Cerebrospinal fluid (between Central sulcus and skull),中央沟与颅骨之间的脑脊液
Cerebrospinal fluid (between Parieto-occipital sulcus and skull),顶枕沟与颅骨之间的脑脊液
Cerebrospinal fluid (between Precentral gyrus and skull LH),中央前回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between Precentral sulcus and skull),中央前沟与颅骨之间的脑脊液
Cerebrospinal fluid (between angular gyrus and skull LH),角回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between anterior part of superior frontal gyrus and skull),前部额上回与颅骨之间的脑脊液
Cerebrospinal fluid (between callosomarginal sulcus and skull RH),胼胝体缘沟与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between central sulcus and skull LH),中央沟与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between central sulcus and skull RH),中央沟与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between central sulcus and skull),中央沟与颅骨之间的脑脊液
Cerebrospinal fluid (between cerebellum and cerebellar peduncles),小脑与小脑脚之间的脑脊液
Cerebrospinal fluid (between frontal pole and skull RH),额极与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between inferior frontal sulcus and skull LH),下部沟与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between interhemispheric fissure and superior frontal gyrus superio ),大脑纵裂与额上回之间的脑脊液
Cerebrospinal fluid (between intraparietal sulcus and skull LH),顶内沟与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between intraparietal sulcus and skull RH),顶内沟与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between intraparietal sulcus and skull),顶内沟与颅骨之间的脑脊液
Cerebrospinal fluid (between lateral occipital cortex and skull LH),外侧枕叶皮层与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between lingual gyrus and cerebellum),回与小脑之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus RH and skull),额中回右侧与颅骨之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus and skull LH),额中回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus and skull RH),额中回与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus and skull),额中回与颅骨之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus anterior and skull LH),额中回前部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus anterior and skull RH),额中回前部与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus anterior and skull),额中回前部与颅骨之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus posterior and skull LH),额中回后部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus posterior and skull RH),额中回后部与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus posterior and skull),额中回后部与颅骨之间的脑脊液
Cerebrospinal fluid (between middle frontal gyrus superior and skull LH),额中回上部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between occipital pole and cerebellum),枕极与小脑之间的脑脊液
Cerebrospinal fluid (between occipital pole superior and skull),枕极上部与颅骨之间的脑脊液
Cerebrospinal fluid (between paracentral lobule and skull),旁中央小叶与颅骨之间的脑脊液
Cerebrospinal fluid (between parietal lobe and skull),与颅骨之间的脑脊液
Cerebrospinal fluid (between parieto-occipital sulcus and skull),顶枕沟与颅骨之间的脑脊液
Cerebrospinal fluid (between pars orbitalis and skull LH),与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between postcentral gyrus RH and skull),中央后回右侧与颅骨之间的脑脊液
Cerebrospinal fluid (between postcentral gyrus and skull RH),中央后回与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between postcentral gyrus and skull),中央后回与颅骨之间的脑脊液
Cerebrospinal fluid (between postcentral gyrus inferior and skull LH),中央后回下部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between postcentral gyrus superior and skull LH),中央后回上部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between postcentral sulcus and skull RH),中央后沟与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),后部顶内沟与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between pre and postcentral gyri and skull LH),和与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between precentral and postcentral gyri LH and skull),中央前回和中央后回左侧与颅骨之间的脑脊液
Cerebrospinal fluid (between precentral gyrus and skull LH),中央前回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between precentral gyrus and skull RH),中央前回与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between precentral gyrus and skull),中央前回与颅骨之间的脑脊液
Cerebrospinal fluid (between precentral gyrus superior and skull RH),中央前回上部与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between precentral gyrus superior and skull),中央前回上部与颅骨之间的脑脊液
Cerebrospinal fluid (between precuneus and skull),楔前叶与颅骨之间的脑脊液
Cerebrospinal fluid (between superior cerebellum and limbic lobe),上部小脑与之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus and skull LH),额上回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus and skull RH),额上回与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus and skull),额上回与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus anterior and skull LH),额上回前部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus anterior and skull),额上回前部与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus lateral RH and skull),额上回外侧右侧与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus mid-posterior and skull LH),额上回后部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus middle and skull),额上回中部与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus middle superior and skull),额上回中部上部与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus posterior and skull LH),额上回后部与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus posterior and skull),额上回后部与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal gyrus superior and skull),额上回上部与颅骨之间的脑脊液
Cerebrospinal fluid (between superior frontal sulcus and skull LH),额上沟与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior frontal sulcus and skull),额上沟与颅骨之间的脑脊液
Cerebrospinal fluid (between superior occipital gyrus and skull LH),枕上回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior occipital gyrus and skull),枕上回与颅骨之间的脑脊液
Cerebrospinal fluid (between superior parietal lobule LH and skull),顶上小叶左侧与颅骨之间的脑脊液
Cerebrospinal fluid (between superior parietal lobule RH and skull),顶上小叶右侧与颅骨之间的脑脊液
Cerebrospinal fluid (between superior parietal lobule and skull LH),顶上小叶与颅骨左侧之间的脑脊液
Cerebrospinal fluid (between superior parietal lobule and skull RH),顶上小叶与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between superior parietal lobule and skull),顶上小叶与颅骨之间的脑脊液
Cerebrospinal fluid (between superior parietal lobule posterior and skull RH),顶上小叶后部与颅骨右侧之间的脑脊液
Cerebrospinal fluid (between superior part of superior frontal gyrus and skull),上部额上回与颅骨之间的脑脊液
Cerebrospinal fluid (between superior precentral gyrus and skull),上部中央前回与颅骨之间的脑脊液
Cerebrospinal fluid (between supramarginal gyrus and skull LH),缘上回与颅骨左侧之间的脑脊液
Cerebrospinal fluid (superior of Central sulcus),中央沟上方的脑脊液
Cerebrospinal fluid between cingulate gyrus and cerebellum),扣带回与小脑之间的脑脊液
Cererbrospinal fluid (between callosomarginal sulcus and skull LH),(胼胝体缘沟和颅骨左侧)
Cingulate anterior,前部
Cingulate anterior RH,前部右侧
Cingulate cortex mid-anterior,扣带皮层前部
Cingulate cortex mid-anterior LH,扣带皮层前部左侧
Cingulate cortex mid-posterior,扣带皮层后部
Cingulate cortex posterior,扣带皮层后部
Cingulate gyrus mid-anterior,扣带回前部
Cingulate gyrus mid-posterior,扣带回后部
Cingulate gyrus middle inferior,扣带回中部下部
Cingulate gyrus middle superior,扣带回中部上部
Cingulate mid-anterior,前部
Cingulate mid-anterior RH,前部右侧
Cingulate mid-posterior,后部
Cingulate middle RH,中部右侧
Cingulate middle anterior RH,中部前部右侧
Cingulate middle posterior RH,中部后部右侧
Cingulate posterior,后部
Cingulate posterior LH,后部左侧
Cingulate sulcus anterior RH,沟前部右侧
Cingulate sulcus antero-inferior,沟下部
Cingulate sulcus mid-anterior,沟前部
Cingulate sulcus mid-anterior LH,沟前部左侧
Cingulate sulcus mid-anterior RH,沟前部右侧
Cingulate sulcus mid-posterior,沟后部
Cingulate sulcus mid-posterior LH,沟后部左侧
Cingulate sulcus middle,沟中部
Cingulate sulcus posterior,沟后部
Cingulate sulcus posterior LH,沟后部左侧
Cingulate sulcus posterior RH,沟后部右侧
Cingulum anterior,前部
Cingulum inferior,下部
Cingulum mid-anterior,前部
Cingulum mid-posterior,后部
Cingulum mid-posterior LH,后部左侧
Cingulum middle,中部
Cingulum middle RH,中部右侧
Cingulum posterior,后部
Circular sulcus of the insula anterior,沟的脑岛前部
Circular sulcus of the insula antero-superior LH,沟的脑岛前上部左侧
Circular sulcus of the insula inferior,沟的脑岛下部
Circular sulcus of the insula mid-posterior RH,沟的脑岛后部右侧
Circular sulcus of the insula posterior LH,沟的脑岛后部左侧
Circular sulcus of the insula posterior RH,沟的脑岛后部右侧
Circular sulcus of the insula superior,沟的脑岛上部
Collateral sulcus anterior,外侧沟前部
Collateral sulcus anterior LH,外侧沟前部左侧
Collateral sulcus mid-posterior LH,外侧沟后部左侧
Collateral sulcus middle,外侧沟中部
Collateral sulcus middle LH,外侧沟中部左侧
Collateral sulcus middle RH,外侧沟中部右侧
Collateral sulcus posterior,外侧沟后部
Collateral sulcus posterior LH,外侧沟后部左侧
Collateral sulcus posterior RH,外侧沟后部右侧
Corona radiata,放射冠
Corona radiata anterior,放射冠前部
Corona radiata anterior LH,放射冠前部左侧
Corona radiata anterior RH,放射冠前部右侧
Corona radiata antero-superior,放射冠前上部
Corona radiata posterior LH,放射冠后部左侧
Corona radiata superior,放射冠上部
Corpus callosum anterior body,胼胝体前部
Corpus callosum forceps minor LH,胼胝体小钳左侧
Corpus callosum genu,胼胝体
Corpus callosum genu LH,胼胝体左侧
Corpus callosum genu RH,胼胝体右侧
Corpus callosum genu inferior,胼胝体下部
Corpus callosum genu posterior,胼胝体后部
Corpus callosum genu superior,胼胝体上部
Corpus callosum isthmus,胼胝体
Corpus callosum isthmus anterior,胼胝体前部
Corpus callosum isthmus inferior,胼胝体下部
Corpus callosum isthmus posterior,胼胝体后部
Corpus callosum middle body,胼胝体中部
Corpus callosum posterior body,胼胝体后部
Corpus callosum posterior body anterior,胼胝体后部前部
Corpus callosum posterior body radiation RH,胼胝体后部右侧
Corpus callosum rostrum,胼胝体
Corpus callosum splenium,胼胝体
Corpus callosum splenium RH,胼胝体右侧
Corpus callosum splenium superior,胼胝体上部
Corpus callosum tapetum,胼胝体
Corticospinal tract LH,左侧
Corticospinal tract mid-superior RH,上部右侧
Corticospinal tract middle RH,中部右侧
Corticospinal tract postero-superior RH,后上部右侧
Corticospinal tract precentral gyrus LH,中央前回左侧
Corticospinal tract superior,上部
Corticospinal tract superior RH,上部右侧
Corticospinal tract superior posterior,上部后部
Cuneus,楔叶
Cuneus anterior,楔叶前部
Cuneus anterior LH,楔叶前部左侧
Cuneus anterior RH,楔叶前部右侧
Cuneus antero-inferior,楔叶下部
Cuneus antero-superior RH,楔叶前上部右侧
Cuneus inferior,楔叶下部
Cuneus inferior RH,楔叶下部右侧
Cuneus mid-posterior,楔叶后部
Cuneus middle,楔叶中部
Cuneus middle posterior RH,楔叶中部后部右侧
Cuneus posterior,楔叶后部
Cuneus posterior RH,楔叶后部右侧
Cuneus postero-inferior LH,楔叶后下部左侧
Cuneus postero-superior,楔叶后上部
Cuneus postero-superior LH,楔叶后上部左侧
Cuneus superior,楔叶上部
Cuneus superior LH,楔叶上部左侧
Cuneus superior RH,楔叶上部右侧
Descending occipital gyrus,回
Descending occipital gyrus inferior LH,回下部左侧
Descending occipital gyrus superior,回上部
Descending occipital gyrus superior LH,回上部左侧
Dorsal visual stream RH,背侧右侧
Dorsal visual stream posterior LH,背侧后部左侧
Dorsal visual stream posterior RH,背侧后部右侧
Dorsal visual stream superior,背侧上部
Dorsolateral prefrontal cortex LH,外侧皮层左侧
Dorsomedial prefrontal cortex,内侧皮层
Dorsomedial prefrontal cortex LH,内侧皮层左侧
Dorsomedial prefrontal cortex RH,内侧皮层右侧
Dorsomedial prefrontal cortex anterior,内侧皮层前部
Dorsomedial prefrontal cortex anterior LH,内侧皮层前部左侧
Dorsomedial prefrontal cortex anterior RH,内侧皮层前部右侧
Dorsomedial prefrontal cortex antero-superior,内侧皮层前上部
Dorsomedial prefrontal cortex antero-superior LH,内侧皮层前上部左侧
Dorsomedial prefrontal cortex antero-superior RH,内侧皮层前上部右侧
Dorsomedial prefrontal cortex anteromedial,内侧皮层内侧
Dorsomedial prefrontal cortex posterior,内侧皮层后部
Dorsomedial prefrontal cortex superior RH,内侧皮层上部右侧
Entorhinal cortex,皮层
External capsule LH,左侧
External capsule anterior LH,前部左侧
External capsule middle LH,中部左侧
External capsule posterior RH,后部右侧
External capsule posterior inferior LH,后部下部左侧
External capsule posterior superior LH,后部上部左侧
Fluid between cerebellum and occipital cortex,小脑和皮层
Fluid between cerebellum and peduncle inferior,小脑和下部
Fluid between cerebellum and peduncle superior,小脑和上部
Fluid between cerebellum and pons,小脑和脑桥
Forceps major,大钳
Forceps major LH,大钳左侧
Forceps major RH,大钳右侧
Forceps major anterior,大钳前部
Forceps major anterior RH,大钳前部右侧
Forceps major posterior,大钳后部
Forceps minor,小钳
Forceps minor RH,小钳右侧
Forceps minor anterior LH,小钳前部左侧
Forceps minor anterior RH,小钳前部右侧
Forceps minor middle LH,小钳中部左侧
Forceps minor middle RH,小钳中部右侧
Forceps minor posterior LH,小钳后部左侧
Forceps minor posterior RH,小钳后部右侧
Fornix anterior,前部
Fornix antero-superior,前上部
Fornix body,穹隆体
Fornix middle body,中部
Fornix posterior,后部
Fornix postero-superior,后上部
Fornix superior,上部
Fourth ventricle,第四脑室
Frontal opercula medial,内侧
Frontal operculum LH,盖左侧
Frontal operculum RH,盖右侧
Frontal pole,额极
Frontal pole LH,额极左侧
Frontal pole RH,额极右侧
Frontal pole inferior,额极下部
Frontal pole inferior LH,额极下部左侧
Frontal pole inferior RH,额极下部右侧
Frontal pole lateral LH,额极外侧左侧
Frontal pole lateral RH,额极外侧右侧
Frontal pole medial,额极内侧
Frontal pole medial LH,额极内侧左侧
Frontal pole mid-superior RH,额极上部右侧
Frontal pole superior,额极上部
Frontal pole superior LH,额极上部左侧
Frontal pole superior RH,额极上部右侧
Frontomarginal gyrus,回
Frontomarginal gyrus LH,回左侧
Frontomarginal gyrus RH,回右侧
Frontomarginal sulcus,沟
Frontomarginal sulcus LH,沟左侧
Frontomarginal sulcus RH,沟右侧
Frontoparietal operculum LH,盖左侧
Fusiform gyrus,梭状回
Fusiform gyrus LH,梭状回左侧
Fusiform gyrus RH,梭状回右侧
Fusiform gyrus anterior,梭状回前部
Fusiform gyrus anterior LH,梭状回前部左侧
Fusiform gyrus anterior RH,梭状回前部右侧
Fusiform gyrus mid-anterior LH,梭状回前部左侧
Fusiform gyrus mid-anterior RH,梭状回前部右侧
Fusiform gyrus mid-posterior LH,梭状回后部左侧
Fusiform gyrus mid-posterior RH,梭状回后部右侧
Fusiform gyrus middle RH,梭状回中部右侧
Fusiform gyrus middle inferior RH,梭状回中部下部右侧
Fusiform gyrus middle superior RH,梭状回中部上部右侧
Fusiform gyrus posterior,梭状回后部
Fusiform gyrus posterior LH,梭状回后部左侧
Fusiform gyrus posterior RH,梭状回后部右侧
Genu of callosal body,的
Globus pallidus,苍白球
Globus pallidus RH,苍白球右侧
Globus pallidus anterior,苍白球前部
Globus pallidus inferior,苍白球下部
Globus pallidus middle,苍白球中部
Globus pallidus posterior,苍白球后部
Gyrus rectus,回
Heschl’s gyrus,’回
Heschl’s gyrus LH,’回左侧
Heschl’s gyrus RH,’回右侧
Heschl’s gyrus anterior LH,’回前部左侧
Heschl’s gyrus anterior lateral RH,’回前部外侧右侧
Heschl’s gyrus anterior medial RH,’回前部内侧右侧
Heschl’s gyrus inferior LH,’回下部左侧
Heschl’s gyrus medial RH,’回内侧右侧
