index,label_en,label_zh,r,g,b,a
38,A44op_R,44区盖部（右侧）,220,255,123,255
39,A44v_L,44区腹侧部（左侧）,44,70,176,255
40,A44v_R,44区腹侧部（右侧）,158,167,0,255
41,A14m_L,14区内侧部（左侧）,149,211,220,255
42,A14m_R,14区内侧部（右侧）,176,149,167,255
43,A12/47o_L,12/47区眶部（左侧）,202,132,255,255
44,A12/47o_R,12/47区眶部（右侧）,0,255,114,255
45,A11l_L,11区外侧部（左侧）,167,0,0,255
46,A11l_R,11区外侧部（右侧）,132,0,229,255
47,A11m_L,11区内侧部（左侧）,44,0,44,255
48,A11m_R,11区内侧部（右侧）,255,255,202,255
49,A13_L,13区（左侧）,229,79,141,255
50,A13_R,13区（右侧）,176,255,211,255
51,A12/47l_L,12/47区外侧部（左侧）,0,176,79,255
52,A12/47l_R,12/47区外侧部（右侧）,88,53,0,255
53,A4hf_L,4区（头面部）（左侧）,0,106,167,255
54,A4hf_R,4区（头面部）（右侧）,149,167,229,255
55,A6cdl_L,6区尾侧背外侧部（左侧）,141,193,97,255
56,A6cdl_R,6区尾侧背外侧部（右侧）,35,123,97,255
57,A4ul_L,4区（上肢区）（左侧）,176,97,132,255
58,A4ul_R,4区（上肢区）（右侧）,176,0,62,255
59,A4t_L,4区（躯干区）（左侧）,167,88,0,255
60,A4t_R,4区（躯干区）（右侧）,255,62,229,255
61,A4tl_L,4区（舌和喉部）（左侧）,0,62,70,255
62,A4tl_R,4区（舌和喉部）（右侧）,149,255,62,255
63,A6cvl_L,6区尾侧腹外侧部（左侧）,132,106,88,255
64,A6cvl_R,6区尾侧腹外侧部（右侧）,0,255,202,255
65,A1/2/3ll_L,1/2/3区（下肢区）（左侧）,202,149,44,255
66,A1/2/3ll_R,1/2/3区（下肢区）（右侧）,255,0,62,255
67,A4ll_L,4区（下肢区）（左侧）,106,132,62,255
68,A4ll_R,4区（下肢区）（右侧）,0,62,255,255
69,A38m_L,38区内侧部（左侧）,0,167,176,255
70,A38m_R,38区内侧部（右侧）,202,88,255,255
71,A41/42_L,41/42区（左侧）,255,202,185,255
72,A41/42_R,41/42区（右侧）,106,44,106,255
73,TE1.0/TE1.2_L,TE1.0和TE1.2区（左侧）,255,158,97,255
74,TE1.0/TE1.2_R,TE1.0和TE1.2区（右侧）,132,70,185,255
75,A22c_L,22区尾侧部（左侧）,176,70,158,255
76,A22c_R,22区尾侧部（右侧）,149,149,255,255
77,A38l_L,38区外侧部（左侧）,255,106,123,255
78,A38l_R,38区外侧部（右侧）,0,106,255,255
79,A22r_L,22区嘴侧部（左侧）,114,9,176,255
80,A22r_R,22区嘴侧部（右侧）,176,167,79,255
81,A21c_L,21区尾侧部（左侧）,229,79,0,255
82,A21c_R,21区尾侧部（右侧）,0,0,70,255
83,A21r_L,21区嘴侧部（左侧）,53,35,18,255
84,A21r_R,21区嘴侧部（右侧）,88,141,0,255
85,A37dl_L,37区背外侧部（左侧）,0,35,9,255
86,A37dl_R,37区背外侧部（右侧）,26,211,18,255
87,aSTS_L,前部颞上沟（左侧）,123,44,62,255
88,aSTS_R,前部颞上沟（右侧）,88,88,132,255
89,A20iv_L,20区中间腹侧部（左侧）,237,237,70,255
90,A20iv_R,20区中间腹侧部（右侧）,0,62,0,255
91,A37elv_L,37区极外侧腹侧部（左侧）,211,229,211,255
92,A37elv_R,37区极外侧腹侧部（右侧）,114,0,0,255
93,A20r_L,20区嘴侧部（左侧）,202,246,167,255
94,A20r_R,20区嘴侧部（右侧）,167,211,9,255
95,A20il_L,20区中间外侧部（左侧）,246,141,123,255
96,A20il_R,20区中间外侧部（右侧）,26,141,79,255
97,A37vl_L,37区腹外侧部（左侧）,114,141,123,255
98,A37vl_R,37区腹外侧部（右侧）,193,0,132,255
99,A20cl_L,20区尾侧外侧部（左侧）,0,18,44,255
100,A20cl_R,20区尾侧外侧部（右侧）,106,220,202,255
101,A20cv_L,20区尾侧腹侧部（左侧）,70,79,0,255
102,A20cv_R,20区尾侧腹侧部（右侧）,149,97,44,255
103,A20rv_L,20区嘴侧腹侧部（左侧）,185,114,106,255
104,A20rv_R,20区嘴侧腹侧部（右侧）,0,26,141,255
105,A37mv_L,37区内侧腹侧部（左侧）,0,255,158,255
106,A37mv_R,37区内侧腹侧部（右侧）,255,176,9,255
107,A37lv_L,37区外侧腹侧部（左侧）,123,202,141,255
108,A37lv_R,37区外侧腹侧部（右侧）,123,237,97,255
109,A35/36r_L,35/36区嘴侧部（左侧）,79,88,88,255
110,A35/36r_R,35/36区嘴侧部（右侧）,220,132,193,255
111,A35/36c_L,35/36区尾侧部（左侧）,114,0,114,255
112,A35/36c_R,35/36区尾侧部（右侧）,211,193,141,255
113,TL_L,TL区（外侧海马旁后部皮层）（左侧）,185,193,220,255
114,TL_R,TL区（外侧海马旁后部皮层）（右侧）,79,97,176,255
115,A28/34_L,28/34区（内嗅皮层）（左侧）,88,0,53,255
116,A28/34_R,28/34区（内嗅皮层）（右侧）,193,79,97,255
117,TI_L,TI区（颞叶无颗粒脑岛皮层）（左侧）,70,53,123,255
118,TI_R,TI区（颞叶无颗粒脑岛皮层）（右侧）,220,193,53,255
119,TH_L,TH区（内侧海马旁后部皮层）（左侧）,185,167,149,255
120,TH_R,TH区（内侧海马旁后部皮层）（右侧）,220,97,229,255
121,rpSTS_L,后部颞上沟嘴侧部（左侧）,141,123,70,255
122,rpSTS_R,后部颞上沟嘴侧部（右侧）,0,141,185,255
123,cpSTS_L,后部颞上沟尾侧部（左侧）,9,62,211,255
124,cpSTS_R,后部颞上沟尾侧部（右侧）,114,106,229,255
125,A7r_L,7区嘴侧部（左侧）,255,193,229,255
126,A7r_R,7区嘴侧部（右侧）,70,149,229,255
127,A7c_L,7区尾侧部（左侧）,0,149,0,255
128,A7c_R,7区尾侧部（右侧）,44,9,18,255
129,A5l_L,5区外侧部（左侧）,193,79,44,255
130,A5l_R,5区外侧部（右侧）,255,193,132,255
131,A7pc_L,7区中央后部（左侧）,44,44,53,255
132,A7pc_R,7区中央后部（右侧）,53,220,255,255
133,A7ip_L,7区顶内沟部（左侧）,211,53,62,255
134,A7ip_R,7区顶内沟部（右侧）,141,106,141,255
135,A39c_L,39区尾侧部（左侧）,106,176,149,255
136,A39c_R,39区尾侧部（右侧）,35,0,202,255
137,A39rd_L,39区嘴侧背侧部（左侧）,211,220,123,255
138,A39rd_R,39区嘴侧背侧部（右侧）,123,53,0,255
139,A40rd_L,40区嘴侧背侧部（左侧）,167,0,211,255
140,A40rd_R,40区嘴侧背侧部（右侧）,18,79,114,255
141,A40c_L,40区尾侧部（左侧）,9,79,62,255
142,A40c_R,40区尾侧部（右侧）,246,158,255,255
143,A39rv_L,39区嘴侧腹侧部（左侧）,114,176,211,255
144,A39rv_R,39区嘴侧腹侧部（右侧）,106,62,53,255
145,A40rv_L,40区嘴侧腹侧部（左侧）,53,106,53,255
146,A40rv_R,40区嘴侧腹侧部（右侧）,220,62,185,255
147,A7m_L,7区内侧部（左侧）,0,202,70,255
148,A7m_R,7区内侧部（右侧）,62,44,79,255
149,A5m_L,5区内侧部（左侧）,246,9,132,255
150,A5m_R,5区内侧部（右侧）,185,149,202,255
151,dmPOS_L,顶枕沟背内侧部（左侧）,220,18,18,255
152,dmPOS_R,顶枕沟背内侧部（右侧）,176,255,246,255
153,A31_L,31区（左侧）,62,220,149,255
154,A31_R,31区（右侧）,167,202,70,255
155,A1/2/3ulhf_L,1/2/3区（上肢、头面部）（左侧）,132,141,176,255
156,A1/2/3ulhf_R,1/2/3区（上肢、头面部）（右侧）,88,53,185,255
157,A1/2/3tonIa_L,1/2/3区（舌和喉部）（左侧）,193,149,237,255
158,A1/2/3tonIa_R,1/2/3区（舌和喉部）（右侧）,97,114,0,255
159,A2_L,2区（左侧）,255,132,185,255
160,A2_R,2区（右侧）,185,0,97,255
161,A1/2/3tru_L,1/2/3区（躯干区）（左侧）,167,237,123,255
162,A1/2/3tru_R,1/2/3区（躯干区）（右侧）,255,246,0,255
163,G_L,高颗粒脑岛（左侧）,255,193,79,255
164,G_R,高颗粒脑岛（右侧）,220,106,35,255
165,vIa_L,腹侧无颗粒脑岛（左侧）,123,0,35,255
166,vIa_R,腹侧无颗粒脑岛（右侧）,193,255,88,255
167,dIa_L,背侧无颗粒脑岛（左侧）,158,185,176,255
168,dIa_R,背侧无颗粒脑岛（右侧）,185,70,132,255
169,vId/vIg_L,腹侧乏颗粒及颗粒脑岛（左侧）,202,123,70,255
170,vId/vIg_R,腹侧乏颗粒及颗粒脑岛（右侧）,176,106,202,255
171,dIg_L,背侧颗粒脑岛（左侧）,79,149,62,255
172,dIg_R,背侧颗粒脑岛（右侧）,0,62,141,255
173,dId_L,背侧乏颗粒脑岛（左侧）,88,44,211,255
174,dId_R,背侧乏颗粒脑岛（右侧）,246,79,176,255
175,A23d_L,23区背侧部（左侧）,158,141,9,255
176,A23d_R,23区背侧部（右侧）,123,123,132,255
177,A24rv_L,24区嘴侧腹侧部（左侧）,132,53,97,255
178,A24rv_R,24区嘴侧腹侧部（右侧）,106,158,106,255
179,A32p_L,32区前膝部（左侧）,149,97,106,255
180,A32p_R,32区前膝部（右侧）,106,202,88,255
181,A23v_L,23区腹侧部（左侧）,211,158,158,255
182,A23v_R,23区腹侧部（右侧）,158,88,149,255
183,A24cd_L,24区尾侧背侧部（左侧）,26,35,123,255
184,A24cd_R,24区尾侧背侧部（右侧）,62,9,79,255
185,A23c_L,23区尾侧部（左侧）,220,193,202,255
186,A23c_R,23区尾侧部（右侧）,149,62,237,255
187,A32sg_L,32区胼胝体下部（左侧）,167,97,237,255
188,A32sg_R,32区胼胝体下部（右侧）,97,79,44,255
189,cLinG_L,舌回尾侧部（左侧）,0,106,106,255
190,cLinG_R,舌回尾侧部（右侧）,255,246,123,255
191,rCunG_L,楔叶回嘴侧部（左侧）,88,255,229,255
192,rCunG_R,楔叶回嘴侧部（右侧）,211,237,255,255
193,cCunG_L,楔叶回尾侧部（左侧）,97,35,255,255
194,cCunG_R,楔叶回尾侧部（右侧）,106,9,141,255
195,rLinG_L,舌回嘴侧部（左侧）,132,62,149,255
196,rLinG_R,舌回嘴侧部（右侧）,106,114,79,255
197,vmPOS_L,顶枕沟腹内侧部（左侧）,132,255,193,255
198,vmPOS_R,顶枕沟腹内侧部（右侧）,158,0,132,255
199,mOccG_L,枕中回（左侧）,97,158,158,255
200,mOccG_R,枕中回（右侧）,202,0,202,255
201,V5/MT+_L,V5/MT+区（左侧）,35,106,220,255
202,V5/MT+_R,V5/MT+区（右侧）,35,44,0,255
203,OPC_L,枕极皮层（左侧）,220,97,88,255
204,OPC_R,枕极皮层（右侧）,114,123,185,255
205,iOccG_L,枕下回（左侧）,149,18,70,255
206,iOccG_R,枕下回（右侧）,211,202,255,255
207,msOccG_L,内侧枕上回（左侧）,185,0,255,255
208,msOccG_R,内侧枕上回（右侧）,0,158,141,255
209,lsOccG_L,外侧枕上回（左侧）,211,149,185,255
210,lsOccG_R,外侧枕上回（右侧）,44,88,0,255
211,mAmyg_L,内侧杏仁核（左侧）,97,35,9,255
212,mAmyg_R,内侧杏仁核（右侧）,123,97,193,255
213,lAmyg_L,外侧杏仁核（左侧）,255,176,149,255
214,lAmyg_R,外侧杏仁核（右侧）,132,158,62,255
215,rHipp_L,海马嘴侧部（左侧）,26,18,62,255
216,rHipp_R,海马嘴侧部（右侧）,167,211,255,255
217,cHipp_L,海马尾侧部（左侧）,97,255,79,255
218,cHipp_R,海马尾侧部（右侧）,246,158,62,255
219,vCa_L,腹侧尾状核（左侧）,0,176,211,255
220,vCa_R,腹侧尾状核（右侧）,62,0,141,255
221,GP_L,苍白球（左侧）,220,114,141,255
222,GP_R,苍白球（右侧）,88,53,149,255
223,NAC_L,伏隔核（左侧）,0,114,202,255
224,NAC_R,伏隔核（右侧）,167,132,53,255
225,vmPu_L,腹内侧壳核（左侧）,70,26,53,255
226,vmPu_R,腹内侧壳核（右侧）,70,106,88,255
227,dCa_L,背侧尾状核（左侧）,229,53,106,255
228,dCa_R,背侧尾状核（右侧）,26,0,26,255
229,dlPu_L,背外侧壳核（左侧）,158,0,26,255
230,dlPu_R,背外侧壳核（右侧）,255,70,97,255
231,mPFtha_L,内侧前额叶丘脑（左侧）,158,176,106,255
232,mPFtha_R,内侧前额叶丘脑（右侧）,158,220,193,255
233,mPMtha_L,运动前丘脑（左侧）,106,70,114,255
234,mPMtha_R,运动前丘脑（右侧）,0,132,149,255
235,Stha_L,感觉丘脑（左侧）,211,246,202,255
236,Stha_R,感觉丘脑（右侧）,149,44,0,255
237,rTtha_L,嘴侧颞丘脑（左侧）,246,229,202,255
238,rTtha_R,嘴侧颞丘脑（右侧）,149,220,70,255
239,PPtha_L,顶后丘脑（左侧）,79,123,167,255
240,PPtha_R,顶后丘脑（右侧）,176,246,0,255
241,Otha_L,枕丘脑（左侧）,167,158,114,255
242,Otha_R,枕丘脑（右侧）,237,70,255,255
243,cTtha_L,尾侧颞丘脑（左侧）,167,62,202,255
244,cTtha_R,尾侧颞丘脑（右侧）,246,229,158,255
245,lPFtha_L,外侧前额叶丘脑（左侧）,88,237,123,255
246,lPFtha_R,外侧前额叶丘脑（右侧）,114,229,237,255
